Run,Event,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,M
202328,318322030,-11,120.38,23.0544,108.896,-45.8425,111.31,-0.401011,1.36217,1,11,110.439,-59.0759,-46.8955,-80.6701,75.4265,-0.929688,-2.47063,-1,-11,36.3286,22.4955,-27.7803,6.47898,35.7462,0.180271,-0.890129,1,11,14.5397,-11.3447,-8.20957,-3.91196,14.0035,-0.275844,-2.51517,-1,95.5085,73.8443,250.381
202016,191382222,11,207.668,110.034,154.184,-85.1228,189.421,-0.435489,0.950968,-1,-11,241.707,-38.0724,-142.53,-191.463,147.528,-1.07711,-1.83182,1,11,156.599,-53.512,-28.9656,-144.294,60.8485,-1.59837,-2.64546,-1,-11,31.1279,21.6484,-13.2534,-18.0178,25.3832,-0.660704,-0.549352,1,90.0934,95.8329,459.05
194050,401484983,11,92.7438,84.7255,-8.66554,36.7138,85.1675,0.418733,-0.101923,-1,-11,67.6137,-38.0564,46.988,30.2564,60.4662,0.481556,2.25155,1,-11,39.3087,-18.0245,-29.8755,18.1039,34.8916,0.498017,-2.11366,1,11,93.0414,-1.96028,-20.2253,90.7953,20.3201,2.20244,-1.66742,-1,92.1871,94.0157,232.157
199569,111437792,11,50.3292,22.4674,-40.3746,19.9533,46.2049,0.419436,-1.063,-1,-11,35.5086,-7.91035,33.3679,9.21244,34.2927,0.265511,1.80356,1,11,48.8061,17.8929,25.6426,-37.4746,31.2681,-1.01501,0.961562,-1,-11,24.4082,-16.033,8.30473,-16.4236,18.0562,-0.815973,2.66367,1,79.0979,36.0478,153.917
202178,487671954,-11,90.4394,48.0646,-62.502,-44.3011,78.8461,-0.535853,-0.91524,1,11,65.6809,-43.2077,-30.9157,-38.6172,53.129,-0.674531,-2.52053,-1,-11,91.8783,8.27262,47.7687,-78.0471,48.4797,-1.25421,1.39932,1,11,28.4592,2.08098,-28.3818,-0.262779,28.458,-0.0092338,-1.49761,-1,93.5288,88.6885,211.477
200466,181152989,-11,166.907,-64.3235,10.0508,-153.686,65.104,-1.59419,2.98659,1,-11,193.762,32.7414,-23.0763,-189.576,40.0564,-2.25863,-0.613944,1,11,25.751,8.24157,20.9611,-12.4829,22.5232,-0.52918,1.19618,-1,11,10.7769,3.01373,8.43587,-5.99126,8.95804,-0.62693,1.22768,-1,75.3255,44.4305,161.959
202469,247836553,11,85.5463,32.2761,-56.0245,56.015,64.6567,0.783641,-1.04813,-1,11,63.7988,-61.4321,12.9501,11.3434,62.7822,0.179709,2.93383,-1,-11,55.2581,11.2653,-41.2519,34.9976,42.7624,0.746988,-1.30421,1,-11,55.062,0.0374109,25.3093,48.9005,25.3093,1.41286,1.56932,1,93.3239,82.3154,201.856
198212,15479119,-11,67.8257,-6.47871,-36.2834,56.9374,36.8573,1.21936,-1.74749,1,11,76.2806,-13.8343,25.1897,70.6599,28.7387,1.63178,2.07303,-1,11,32.1615,14.0222,-8.9518,27.5246,16.636,1.27753,-0.568179,-1,-11,17.7141,1.23616,8.72231,15.3682,8.80947,1.32317,1.43001,1,62.848,20.3693,91.697
201727,43697222,-11,158.849,86.5379,-9.53531,-132.865,87.0617,-1.20916,-0.109744,1,11,73.051,-42.2094,57.2146,-16.7722,71.0995,-0.233763,2.2064,-1,11,159.411,15.8922,-63.9054,-145.174,65.8518,-1.53154,-1.32706,-1,-11,112.454,-57.2814,7.83265,-96.454,57.8144,-1.28465,3.0057,1,89.9894,86.3848,317.193
194119,168130224,11,66.6019,14.5316,55.6719,-33.5452,57.5372,-0.554208,1.31547,-1,11,78.7675,-3.53318,49.9601,-60.7933,50.0849,-1.02478,1.6414,-1,-11,114.544,-23.6287,-33.877,-106.838,41.3033,-1.67895,-2.17983,1,-11,102.678,8.01567,-25.4597,-99.1484,26.6917,-2.02306,-1.26578,1,90.9541,98.1176,197.771
202074,38166085,-11,114.905,-70.6866,34.7552,83.6585,78.7688,0.924595,2.68462,1,-11,58.2864,45.0598,36.2677,7.18165,57.8422,0.123842,0.677709,1,11,60.5111,40.7182,-34.32,-28.7361,53.2526,-0.516364,-0.700338,-1,11,43.985,-32.351,-29.5433,-3.90886,43.8109,-0.0891033,-2.40153,-1,90.7868,79.2881,270.878
202016,559670208,-11,166.8,3.94837,166.432,-10.3462,166.479,-0.062107,1.54708,1,11,414.967,-11.8806,-151.782,386.029,152.247,1.66035,-1.64891,-1,-11,86.2192,24.4404,-3.41183,82.6122,24.6774,1.92301,-0.138702,1,11,13.6753,-7.15423,-8.51946,-7.9529,11.1249,-0.664807,-2.26931,-1,85.5559,85.3805,511.624
200091,1530537922,11,185.16,-28.1325,-71.0389,-168.66,76.4066,-1.53272,-1.94786,-1,11,75.4464,9.88009,-63.6935,-39.2133,64.4553,-0.575998,-1.4169,-1,-11,63.6627,-49.6266,-31.5013,24.4501,58.7803,0.40481,-2.576,1,-11,16.0129,11.4816,5.85226,9.50453,12.887,0.683138,0.471384,1,92.1496,103.021,237.994
198485,174781164,11,247.558,-4.32188,-120.754,216.066,120.832,1.34467,-1.60657,-1,11,147.1,-40.2352,89.8067,109.335,98.4079,0.957754,1.992,-1,-11,175.757,-3.12692,32.0684,172.778,32.2205,2.38114,1.668,1,-11,15.6437,-3.67335,8.09768,12.8708,8.8919,1.16527,1.99667,1,88.9637,64.0893,282.08
201191,1546558727,11,80.5822,-43.4834,-60.4256,30.8453,74.445,0.403314,-2.19457,-1,-11,49.1178,43.8461,12.7335,18.1091,45.6576,0.386904,0.282639,1,-11,35.788,-8.83932,34.2325,-5.54822,35.3553,-0.15629,1.82349,1,11,19.172,12.6246,11.9426,8.0969,17.3783,0.450524,0.757647,-1,97.3568,13.3754,177.277
202972,42783570,11,96.6135,-35.3841,-89.4829,-8.65755,96.2248,-0.0898511,-1.94736,-1,11,111.754,30.3081,22.8752,-105.105,37.9718,-1.7424,0.646537,-1,-11,28.1114,10.6615,21.3785,14.8169,23.8895,0.58609,1.10819,1,-11,24.2807,19.46,13.4372,5.50489,23.6484,0.230728,0.604323,1,92.5686,88.1669,240.055
202333,235647099,11,157.405,-11.2134,-49.3725,149.04,50.6298,1.8005,-1.79413,-1,-11,99.1946,-38.8641,27.7177,86.9534,47.7356,1.36086,2.52207,1,11,33.376,32.1985,-5.86582,6.5426,32.7284,0.198598,-0.180201,-1,-11,13.5253,-3.08638,11.1324,-7.03392,11.5524,-0.576418,1.84125,1,91.1676,85.9338,189.587
200991,98100215,-11,71.1403,-59.3669,10.7768,-37.6879,60.3371,-0.589824,2.96202,1,11,133.965,-32.4606,31.8084,-126.02,45.4474,-1.74407,2.36634,-1,11,55.241,15.4752,-32.4572,-41.9359,35.9577,-0.99419,-1.12589,-1,-11,42.5599,29.7828,-20.0473,-22.8569,35.9014,-0.600003,-0.592454,1,94.0802,85.0634,193.06
194153,93572313,11,73.5696,-47.7167,-52.5303,-19.3948,70.9671,-0.27,-2.30821,-1,-11,59.1011,-43.1283,25.4305,-31.4036,50.0675,-0.59203,2.60882,1,11,82.9851,33.9332,17.6668,-73.6407,38.2567,-1.40954,0.48002,-1,-11,34.5485,-6.43339,32.8109,-8.69828,33.4356,-0.257301,1.76441,1,87.0587,84.925,200.792
